ano;periodo;estudante;disciplina;ch;tipo;anp;aulas;faltas;justificadas;percentual;nb1;nb2;ms1;nr1;mr1;nb3;nb4;ms2;nr2;mr2;ma;nef;mf;resultado;resultado_ano;situacao_atual
2014;4;7BFE4D44;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;80;RG;-;80;1;-;1,2;68;62;65;-;65;93;75;84;-;84;75;-;75;AP;Aprovado;Concluído
2014;4;7BFE4D44;MATEMÁTICA;80;RG;-;82;7;-;8,5;-;83;42;-;42;71;73;72;-;72;57;-;77;AP;Aprovado;Concluído
2014;4;7BFE4D44;METALOGRAFIA;40;RG;-;40;-;-;0;96;97;97;-;97;86;68;77;-;77;87;-;87;AP;Aprovado;Concluído
2014;4;7BFE4D44;MÁQUINAS ELÉTRICAS;80;RG;-;80;9;-;11,2;84;66;75;-;75;93;64;79;-;79;77;-;77;AP;Aprovado;Concluído
2014;4;7BFE4D44;MÁQUINAS HIDRAÚLICAS;80;RG;-;80;4;-;5;68;90;79;-;79;82;50;66;-;66;73;-;73;AP;Aprovado;Concluído
2014;4;7BFE4D44;MÁQUINAS TÉRMICAS;80;RG;-;80;10;-;12,5;61;76;69;-;69;92;75;84;-;84;77;-;77;AP;Aprovado;Concluído
2014;4;7BFE4D44;PLANEJAMENTO E CONTROLE DE MANUTENÇÃO;80;RG;-;81;11;-;13,6;62;67;65;-;65;79;87;83;-;83;74;-;74;AP;Aprovado;Concluído
2014;4;7BFE4D44;SOCIOLOGIA;40;RG;-;43;2;-;4,7;40;90;65;-;65;93;96;95;-;95;80;-;80;AP;Aprovado;Concluído
2013;3;E5770D3B;EDUCAÇÃO FÍSICA;80;RG;-;83;83;-;100;74;70;72;-;72;-;-;-;-;-;36;-;-;RF;Reprovado;Transferido Externo
2013;3;E5770D3B;MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS;120;RG;-;121;33;-;27,3;-;-;-;-;-;-;-;-;-;-;-;-;-;RF;Reprovado;Transferido Externo
2013;3;9696170C;EDUCAÇÃO FÍSICA;80;RG;-;83;-;-;0;73;72;73;-;73;95;50;73;-;73;73;-;73;AP;Aprovado;Transferido Externo
2013;3;9696170C;ELEMENTO DE MÁQUINAS;120;RG;-;115;14;-;12,2;77;60;69;-;69;57;63;60;-;60;65;-;65;AP;Aprovado;Transferido Externo
2013;3;9696170C;ELETRÔNICA;80;RG;-;80;10;-;12,5;68;63;66;-;66;62;78;70;-;70;68;-;68;AP;Aprovado;Transferido Externo
2013;3;9696170C;FILOSOFIA;40;RG;-;40;1;-;2,5;87;68;78;-;78;83;50;67;-;67;73;-;73;AP;Aprovado;Transferido Externo
2013;3;9696170C;FÍSICA;80;RG;-;81;1;-;1,2;77;93;85;-;85;66;66;66;-;66;76;-;76;AP;Aprovado;Transferido Externo
2013;3;9696170C;HISTÓRIA;80;RG;-;84;14;-;16,7;62;72;67;-;67;25;78;52;-;52;60;-;60;AP;Aprovado;Transferido Externo
2013;3;9696170C;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;80;RG;-;85;11;-;12,9;85;71;78;-;78;66;66;66;-;66;72;-;72;AP;Aprovado;Transferido Externo
2013;3;9696170C;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;119;23;-;19,3;76;65;71;-;71;-;-;-;-;-;36;-;36;RT;Aprovado;Transferido Externo
2013;3;9696170C;MATEMÁTICA;120;RG;-;121;10;-;8,3;91;91;91;-;91;80;74;77;-;77;84;-;84;AP;Aprovado;Transferido Externo
2013;3;9696170C;MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS;120;RG;-;121;-;-;0;70;68;69;-;69;70;72;71;-;71;70;-;71;AP;Aprovado;Transferido Externo
2013;3;9696170C;PROCESSOS DE FABRICAÇÃO;120;RG;-;120;26;-;21,7;95;68;82;-;82;47;72;60;-;60;71;-;71;AP;Aprovado;Transferido Externo
2013;3;9696170C;SOCIOLOGIA;40;RG;-;40;1;-;2,5;70;58;64;-;64;85;85;85;-;85;75;-;75;AP;Aprovado;Transferido Externo
2013;3;0F9BEF6C;EDUCAÇÃO FÍSICA;80;RG;-;83;-;-;0;62;72;67;-;67;88;90;89;-;89;78;-;79;AP;Aprovado;Concluído
2013;3;0F9BEF6C;ELEMENTO DE MÁQUINAS;120;RG;-;115;3;-;2,6;60;60;60;-;60;62;59;61;-;61;61;-;61;AP;Aprovado;Concluído
2013;3;0F9BEF6C;ELETRÔNICA;80;RG;-;80;4;-;5;63;61;62;-;62;62;81;72;-;72;67;-;67;AP;Aprovado;Concluído
2013;3;0F9BEF6C;FILOSOFIA;40;RG;-;40;1;-;2,5;84;55;70;-;70;85;60;73;-;73;72;-;72;AP;Aprovado;Concluído
2013;3;0F9BEF6C;FÍSICA;80;RG;-;81;1;-;1,2;60;55;58;40;58;40;90;65;-;65;62;-;62;AP;Aprovado;Concluído
2013;3;0F9BEF6C;HISTÓRIA;80;RG;-;84;3;-;3,6;36;66;51;60;56;55;76;66;-;66;61;-;61;AP;Aprovado;Concluído
2013;3;0F9BEF6C;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;80;RG;-;85;6;-;7,1;50;55;53;35;53;85;85;85;-;85;69;-;69;AP;Aprovado;Concluído
2013;3;0F9BEF6C;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;119;14;-;11,8;42;78;60;-;60;55;73;64;-;64;62;-;62;AP;Aprovado;Concluído
2013;3;0F9BEF6C;MATEMÁTICA;120;RG;-;121;1;-;0,8;55;52;54;10;54;52;51;52;80;66;60;-;60;AP;Aprovado;Concluído
2013;3;0F9BEF6C;MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS;120;RG;-;121;-;-;0;68;55;62;-;62;48;72;60;-;60;61;-;62;AP;Aprovado;Concluído
2013;3;0F9BEF6C;PROCESSOS DE FABRICAÇÃO;120;RG;-;120;8;-;6,7;47;80;64;-;64;68;68;68;-;68;66;-;66;AP;Aprovado;Concluído
